3.0,4.0,7.0,9.0,
0.25,0.5,0.25,0.5,
Generation,BeakSize
10,6.73740403487167
10,7.191702027308979
10,3.8935134440578287
10,7.355925150808079
10,4.560443539343704
10,4.904601118562057
10,7.638419675608164
10,7.206925896204526
10,4.367868228403577
10,7.745900042765093
10,7.312363018559626
10,7.528483533042032
10,3.7119566327506197
10,4.670359606767727
10,3.1692423753532912
10,7.506186932309595
10,7.970337322155881
10,4.164113406687461
10,4.462129952089949
10,7.1927943520776285
10,4.6784282231087495
10,4.560523922489876
10,7.841419908745466
10,4.303488291722812
10,7.366860653646695
11,3.1692423753532912
11,4.1565348118725165
11,7.506186932309595
11,6.212776596977064
11,7.366860653646695
11,7.191702027308979
11,7.418668530673547
11,6.73740403487167
11,4.560443539343704
11,4.367868228403577
11,4.164113406687461
11,4.514630665091937
11,7.1927943520776285
11,4.303488291722812
11,4.225819866470344
11,4.670359606767727
11,4.560523922489876
11,7.638419675608164
11,4.215314786405953
11,7.528483533042032
11,7.745900042765093
11,7.841419908745466
11,7.970337322155881
11,4.462129952089949
11,7.312363018559626
11,3.7119566327506197
11,6.99747316075103
11,7.883529966011872
11,7.572343515505404
11,7.374745930898242
11,7.3444738051057525
11,7.3632873995748325
11,4.5550285390973855
11,4.8211223250208795
11,4.421087197908481
11,7.84561923437804
11,3.662584772708389
11,6.926410683866318
11,4.063286126249976
11,6.727620088966946
11,4.619159457404356
11,8.481583302777599
11,4.8362223033455045
12,7.84561923437804
12,4.8211223250208795
12,3.7119566327506197
12,4.164113406687461
12,4.514630665091937
12,7.3444738051057525
12,7.638419675608164
12,3.1692423753532912
12,4.462129952089949
12,7.841419908745466
12,6.212776596977064
12,7.1927943520776285
12,4.560443539343704
12,7.506186932309595
12,8.481583302777599
12,4.8362223033455045
12,7.572343515505404
12,3.662584772708389
12,4.619159457404356
12,7.970337322155881
12,6.926410683866318
12,4.421087197908481
12,7.3632873995748325
12,7.745900042765093
12,4.303488291722812
12,7.366860653646695
12,7.374745930898242
12,4.560523922489876
12,4.670359606767727
12,7.418668530673547
12,7.544124190337597
12,4.98816927035497
12,3.380098865016693
12,8.165979525579113
12,4.433313411341529
12,8.123188024805648
12,7.559336209757932
12,4.636842706640882
12,8.494167422391621
12,4.4469301965850345
12,4.3453654317017145
12,7.862054457022354
12,6.733948092385632
12,4.431653886668131
12,7.0648958524929615
12,7.490329202450921
12,4.622415094028144
12,3.169575964899777
12,7.441626773330734
13,4.619159457404356
13,4.433313411341529
13,4.421087197908481
13,6.926410683866318
13,8.165979525579113
13,4.3453654317017145
13,7.3632873995748325
13,3.1692423753532912
13,7.490329202450921
13,7.572343515505404
13,8.123188024805648
13,7.544124190337597
13,7.559336209757932
13,3.662584772708389
13,7.366860653646695
13,3.380098865016693
13,7.441626773330734
13,4.622415094028144
13,7.970337322155881
13,8.481583302777599
13,8.494167422391621
13,3.7119566327506197
13,4.560523922489876
13,7.374745930898242
13,7.862054457022354
13,7.3444738051057525
13,4.164113406687461
13,7.0648958524929615
13,4.462129952089949
13,6.733948092385632
13,7.506186932309595
13,7.84561923437804
13,4.431653886668131
13,4.303488291722812
13,7.841419908745466
13,4.224877833353467
13,4.285236311895234
13,4.478754316708246
13,7.443377560495715
13,7.36108691851849
13,7.259648213177083
13,7.20301185761283
13,3.9025095407840786
13,5.106471832936344
13,8.071358703815328
13,4.81337099325472
13,7.716566417373565
13,7.785090633598553
13,4.693504977720307
13,6.785052642724328
13,7.777042544445709
13,4.625098257256331
13,7.825757791501062
13,7.765774123577354
13,3.4552908121190207
13,4.307671447034663
14,3.4552908121190207
14,7.84561923437804
14,4.478754316708246
14,3.662584772708389
14,4.421087197908481
14,7.572343515505404
14,7.490329202450921
14,7.259648213177083
14,7.3632873995748325
14,8.481583302777599
14,7.785090633598553
14,4.693504977720307
14,6.926410683866318
14,7.441626773330734
14,7.20301185761283
14,4.81337099325472
14,4.431653886668131
14,4.625098257256331
14,4.3453654317017145
14,7.0648958524929615
14,8.123188024805648
14,8.494167422391621
14,7.777042544445709
14,3.380098865016693
14,8.071358703815328
14,4.285236311895234
14,7.36108691851849
14,6.733948092385632
14,8.165979525579113
14,7.3444738051057525
14,7.716566417373565
14,4.307671447034663
14,7.443377560495715
14,4.224877833353467
14,4.433313411341529
14,7.825757791501062
14,3.9025095407840786
14,4.622415094028144
14,3.8959178640222523
14,4.392996357271127
14,4.003864922517303
14,4.192798874515866
14,7.470194227286528
14,6.922186120019012
14,8.891086829093835
14,7.4366041490364845
14,7.490587716912469
14,7.507518036164407
14,3.8313287167641095
14,4.6259963150100125
14,7.1339977363361164
14,4.42712760419725
14,8.420030508364977
14,7.503296050502934
14,3.8246043585683567
14,7.2662170858882975
14,4.874986502163352
14,4.441482563165704
14,4.747038943704899
15,4.42712760419725
15,4.431653886668131
15,4.3453654317017145
15,7.825757791501062
15,4.224877833353467
15,7.20301185761283
15,8.420030508364977
15,7.443377560495715
15,7.507518036164407
15,4.478754316708246
15,4.307671447034663
15,7.490587716912469
15,7.716566417373565
15,7.490329202450921
15,3.4552908121190207
15,4.6259963150100125
15,4.285236311895234
15,6.733948092385632
15,7.470194227286528
15,4.747038943704899
15,6.922186120019012
15,3.8959178640222523
15,7.2662170858882975
15,7.259648213177083
15,4.192798874515866
15,3.8246043585683567
15,8.165979525579113
15,3.9025095407840786
15,4.003864922517303
15,3.8313287167641095
15,8.494167422391621
15,8.891086829093835
15,7.1339977363361164
15,7.503296050502934
15,3.380098865016693
15,8.071358703815328
15,4.81337099325472
15,7.4366041490364845
15,7.777042544445709
15,8.123188024805648
15,4.419936460768058
15,4.61004160209295
15,3.892739975882318
15,8.00757351636249
15,7.637471783003065
15,8.886069804256914
15,3.997573033792389
15,4.372101355098701
15,3.89091652612956
15,7.688365412140666
15,7.967311720149196
15,4.44070780596732
15,5.107060061349772
15,6.427448636269454
15,7.396615340561735
15,4.914880287557495
15,3.694991920906147
15,6.687863069240856
15,4.358805408756321
15,4.241608845383468
15,4.178996056681569
15,4.327727467888726
15,6.476197980180468
15,4.052350974132069
15,6.899279826594904
15,4.346793182642048
15,7.931371822623473
16,4.419936460768058
16,7.967311720149196
16,3.997573033792389
16,7.777042544445709
16,4.052350974132069
16,7.4366041490364845
16,3.8959178640222523
16,8.420030508364977
16,4.192798874515866
16,4.42712760419725
16,3.4552908121190207
16,3.694991920906147
16,4.003864922517303
16,8.891086829093835
